text,label
nice save!!!,0
lol newb,1
nice teamwork :),0
smooth brain player!!!,1
unlucky!!,0
game is over!!!,1
next time!,0
positive energy :),0
nice teamwork <3,0
lol feed more,1
youre a liability lmao,1
free exp bruh,1
lol horrible teammate,1
omg why are you still here,1
SIT DOWN,1
happens to everyone,0
tough loss but gg!!,0
SPLIT UP,0
WE WILL GET THEM NEXT TIME,0
close match :),0
getting carried,1
reported lmao,1
stop playing!!!,1
smooth game :),0
you played well!!!,0
again,0
nice flank!!,0
getting carried bruh,1
amazing play!,0
DEADWEIGHT,1
good attitude <3,0
be useful for once!,1
omg horrible teammate,1
omg team diff,1
dominated!,1
its okay <3,0
omg quit the game,1
play a different game bruh,1
one more :),0
which site <3,0
hardstuck noob bruh,1
enjoyed that,0
enemy spotted <3,0
HOW ARE YOU THIS BAD,1
which site,0
really carrying us,1
WOW GREAT PLAY,1
play a different game!!!,1
embarrassing!!!,1
wp <3,0
good game!!!,0
youre so bad lmao,1
attack together :),0
youre useless bruh,1
just leave!,1
good try team!!,0
too easy!,1
STOP FEEDING,1
anchor lmao,1
griefer bruh,1
nice rotation <3,0
you are trash!,1
close match!!!,0
dumb teammate!!,1
play a different game!!,1
so helpful bruh,1
gl :),0
youre useless!!,1
toxic trash bruh,1
low iq plays!,1
lol just leave,1
go play something else lmao,1
reported bruh,1
scrub,1
quit gaming bruh,1
clutch play :),0
leave the game lmao,1
good game <3,0
potato aim!!!,1
just leave!!!,1
lol feeder,1
nice flank,0
solid defense,0
lets do this!,0
omg cant do anything right,1
omg gap,1
omg youre garbage,1
youre cracked :),0
YOURE A LIABILITY,1
earned that one,0
GLHF,0
enjoyed that!!!,0
perfect timing!,0
GREAT ROTATION,0
nice try,0
omg cant hit anything,1
moron bruh,1
everyone ready!,0
zero game sense!,1
nice feeding!!!,1
nice communication :),0
delete the game!,1
tumor on the team!,1
tumor on the team,1
defend here!,0
no brain lmao,1
omg nice feeding,1
shake it off <3,0
TERRIBLE PLAYER,1
jungle diff,1
tryhard loser!!,1
stop playing ranked!!,1
surrender vote bruh,1
ggwp!!,0
what strat :),0
did i ask,1
stupid player,1
stop playing,1
hf :),0
great teamwork :),0
stomp!,1
SOLID DEFENSE,0
amazing play :),0
fun game :),0
goated!,0
destroyed,1
walking gold bag,1
keep dying!,1
PLAYING WITH BOTS,1
braindead lmao,1
open mid!,1
kys bruh,1
dont give up <3,0
fun to play with!!!,0
what role!,0
youre garbage lmao,1
omg go touch grass,1
terrible player!!!,1
who wants to lead!,0
on my way,0
nice flank!,0
omg uninstall life,1
SO HELPFUL,1
easy target!,1
lol walking gold bag,1
get out of my game,1
all good!!,0
hard fought <3,0
omg jungle diff,1
good playing with you <3,0
youre a joke!!,1
LEARN TO PLAY,1
STOP PLAYING RANKED,1
on to the next <3,0
gg ez lmao,1
love this team <3,0
lol afk reported,1
go back to tutorial!!,1
rematch,0
goated!!!,0
free kill!!,1
well deserved win :),0
pathetic bruh,1
good game!,0
BRILLIANT STRATEGY,0
pathetic!!,1
worst aim ever bruh,1
clutch play!!!,0
noob!!,1
watch flank :),0
griefer!!,1
lol thanks for nothing,1
keep dying lmao,1
close match <3,0
ready check :),0
PATHETIC,1
uninstall the game,1
deaf player bruh,1
rematch <3,0
nice rotation,0
mvp :),0
stay down,1
youre garbage!!!,1
lol shut up,1
CANT DO ANYTHING RIGHT,1
dominated lmao,1
GG,0
i hate you!,1
TOUGH LOSS BUT GG,0
blind player lmao,1
dont give up,0
omg dont get up,1
doing so much damage!!!,1
not even close!!,1
we got this <3,0
clutch play <3,0
pathetic lmao,1
mid diff!!!,1
hf,0
stop playing bruh,1
so helpful,1
good game :),0
REPORTED,1
dont get up!!,1
WALKING GOLD BAG,1
carry performance!,0
lol always dying,1
so helpful!!!,1
lets play again <3,0
great vibes!!!,0
NICE SHOT GENIUS,1
support diff!,1
lol owned,1
bot player,1
omg uninstall the game,1
lol loser,1
clearly boosted!!!,1
hard fought,0
lol playing with bots,1
newb bruh,1
smooth brain player bruh,1
HOPE YOU LOSE EVERY GAME,1
omg youre a joke,1
shake it off!!,0
cant hit anything!!,1
good try team <3,0
stick to single player lmao,1
loser!,1
GOATED,0
one shot :),0
what strat!!,0
griefer!!!,1
tryhard loser!!!,1
hardstuck noob!,1
what role!!!,0
lol trolling,1
nice try!!,0
wow great play lmao,1
no brain bruh,1
omg low iq plays,1
keep it up!!,0
go back to tutorial lmao,1
worst player ever bruh,1
what role <3,0
gg go next bruh,1
toxic trash,1
lol wow great play,1
omg you suck,1
gl <3,0
playing with bots,1
lol reported,1
EASY TARGET,1
waste of a teammate!!,1
unlucky!!!,0
did i ask bruh,1
regroup,0
worst aim ever!!!,1
newb!,1
its okay,0
useless teammates!!,1
just end!!!,1
insane shot,0
NEED BACKUP,0
GREAT COMMUNICATION,0
stomp!!!,1
noob!!!,1
ggwp!,0
omg moron,1
my team is holding me back!,1
too easy,1
its okay!!,0
throwing the game!!,1
cringe player,1
stupid player bruh,1
GOOD PLAYING WITH YOU,0
who asked!!!,1
IMPRESSIVE GAMEPLAY THERE,1
stay positive :),0
doing so much damage,1
play a different game!,1
go touch grass lmao,1
nice shot genius!!,1
jungle diff!!,1
deaf player!!,1
waste of a teammate lmao,1
youre boosted!!,1
defend here!!,0
scrub bruh,1
destroyed!!!,1
no worries!!,0
DO SOMETHING,1
lol dog water,1
stick to single player,1
omg feeder,1
gg :),0
brilliant strategy,0
loser!!!,1
throwing the game lmao,1
gl!,0
good job <3,0
owned!!!,1
gap bruh,1
WHO WANTS TO LEAD,0
BLIND PLAYER,1
nice combo!!,0
on to the next!,0
feeder lmao,1
cant carry this team!,1
attack together!,0
lol kill yourself,1
nobody asked lmao,1
great vibes :),0
WHO ASKED,1
lol no brain,1
omg get rekt,1
lol who asked,1
great vibes!!,0
did i ask lmao,1
dumb teammate!,1
INTER,1
casual,1
youre a liability,1
ON TO THE NEXT,0
lol braindead,1
how are you this bad,1
stop playing!!,1
free kill!,1
delete your account!!,1
inter!!!,1
good luck have fun :),0
learn from that one!,0
open mid,1
moron lmao,1
which site!!,0
omg youre boosted,1
run it back,0
lol worst aim ever,1
GO PLAY SOMETHING ELSE,1
I HATE YOU,1
enjoy the ban bruh,1
lol ruining the match,1
youre garbage!,1
feeder bruh,1
jungle diff lmao,1
sick play!!!,0
fun to play with <3,0
omg nice shot genius,1
doing so much damage lmao,1
go back to tutorial!!!,1
low health!,0
ONE MORE,0
zero game sense!!,1
good attitude!!!,0
ff 15!!,1
lol uninstall the game,1
rage quit already bruh,1
lol potato aim,1
stay down!!!,1
you suck lmao,1
unlucky!,0
UNLUCKY,0
on to the next,0
worst gamer,1
learn from that one,0
omg waste of space,1
omg cringe player,1
omg disconnect please,1
positive energy!!,0
moron,1
outplayed hard!!!,1
dumb teammate,1
feed more lmao,1
lets team up!!,0
potato aim!!,1
need backup,0
youre a liability!,1
deadweight,1
disconnect please bruh,1
walking gold bag lmao,1
stop feeding lmao,1
omg unwinnable,1
zero game sense!!!,1
lol dominated,1
enjoy the ban!,1
braindead!!,1
go back to minecraft!!!,1
go touch grass,1
ready check <3,0
omg hope you lose every game,1
newb!!,1
omg clearly boosted,1
omg enjoy the ban,1
amazing teammate,1
go play something else!!,1
youre terrible!!!,1
MORON,1
great teamwork,0
easy target bruh,1
goated!!,0
kill yourself!!,1
who asked!!,1
NICE COMBO,0
lets team up!,0
pathetic,1
stfu,1
doing so much damage!!,1
low health :),0
nice combo!!!,0
shut up!!!,1
i hate you!!,1
BACK TO LOBBY,1
nice feeding lmao,1
BE USEFUL FOR ONCE,1
HAPPENS TO EVERYONE,0
lets play again!,0
deaf player lmao,1
you played well <3,0
add me!!,0
lol missed every shot,1
wp :),0
unwinnable bruh,1
YOU PLAYED WELL,0
insane shot!!!,0
regroup!,0
omg stick to single player,1
go touch grass!,1
hope you lose every game,1
great communication <3,0
everyone ready :),0
ANCHOR,1
dont get up lmao,1
want to queue <3,0
youre a joke!!!,1
lol imbecile,1
how are you this bad lmao,1
omg not even close,1
youre boosted!!!,1
deaf player!,1
thanks for the carry!!,0
enemy spotted!!!,0
close one :),0
so helpful!,1
watch flank!,0
delete your account!!!,1
GO PLAY MOBILE GAMES,1
omg stop playing ranked,1
learn to play!!!,1
did i ask!,1
lol diff,1
ANYONE HAVE MIC,0
NEWB,1
dominated,1
lets do this :),0
lets team up!!!,0
worst gamer!,1
lol cancer teammate,1
youre a joke,1
what a pro bruh,1
stop dying!,1
impressive gameplay there!,1
hard fought!!,0
lol stop playing,1
focus target,0
thanks for the carry :),0
no worries!,0
kill yourself!,1
lol cant carry this team,1
nice combo,0
we will get them next time <3,0
stop playing!,1
gg go next!!!,1
get good lmao,1
omg deaf player,1
better luck next game!!,0
kys!!!,1
AMAZING PLAY,0
lol dont get up,1
top diff bruh,1
we got this!!!,0
stick to single player!,1
get a life!!,1
worst team ever,1
we got this,0
lets play again,0
awesome game!,0
lol delete your account,1
one shot!!!,0
DESTROYED,1
owned bruh,1
nice save!!,0
MVP,0
tumor on the team lmao,1
clearly boosted,1
terrible player lmao,1
youre garbage,1
wp,0
youre garbage bruh,1
nice flank <3,0
MY TEAM IS HOLDING ME BACK,1
what a pro lmao,1
one more!!,0
just end lmao,1
add me <3,0
lets do this!!,0
omg bad at everything,1
you are so bad at this game bruh,1
lol bot diff,1
always dying,1
great rotation <3,0
lol thrower,1
lol get rekt,1
lol game is over,1
omg missed every shot,1
lol never play again,1
clutch play!,0
lol impressive gameplay there,1
LOVE THIS TEAM,0
missed every shot,1
defend here,0
deadweight!,1
thrower!!,1
lol you are trash,1
who wants to lead!!,0
we got this :),0
well deserved win <3,0
ruining the match lmao,1
blind player,1
split up <3,0
omg tumor on the team,1
low iq plays!!!,1
lol go play mobile games,1
RESET MENTAL,0
carry performance!!!,0
nice rotation :),0
cant do anything right,1
uninstall the game!,1
omg dominated,1
shut up!!,1
omg inter,1
thrower lmao,1
LETS TEAM UP,0
get good!,1
delete your account!,1
ADD ME,0
GG EZ,1
dog water,1
delete your account,1
why are you still here!,1
lol so helpful,1
end yourself!,1
close one,0
my team is holding me back,1
youre a joke lmao,1
go play mobile games!!,1
you suck!!,1
cringe player bruh,1
learn to play lmao,1
lol delete the game,1
enjoyed that :),0
waste of space,1
good positioning!,0
CLUTCH PLAY,0
omg go back to minecraft,1
1v9!,1
STOMP,1
youre a liability bruh,1
potato aim!,1
lol what a pro,1
STOP DYING,1
GOOD ATTITUDE,0
omg bot diff,1
afk reported bruh,1
almost had them!!,0
wp!,0
almost had them!,0
fun to play with :),0
newb lmao,1
support diff!!,1
NICE TRY,0
get a life bruh,1
lol zero game sense,1
amazing teammate!!,1
intentional feeding!!!,1
who asked lmao,1
NOT EVEN CLOSE,1
afk reported!,1
trolling,1
DELETE YOUR ACCOUNT,1
aids player,1
GO BACK TO FORTNITE,1
CLOSE ONE,0
ggwp,0
embarrassing lmao,1
party up :),0
worst gamer lmao,1
we will get them next time!!,0
back to lobby lmao,1
worst team ever!,1
go back to tutorial,1
great vibes <3,0
lets do this!!!,0
easy target lmao,1
nice shot :),0
trolling!!,1
reset mental :),0
rage quit already lmao,1
walking gold bag!,1
one more,0
pathetic!!!,1
1v9 lmao,1
stfu lmao,1
ALWAYS DYING,1
inter!!,1
delete the game!!,1
thanks for the carry!!!,0
horrible teammate bruh,1
all good,0
get rekt bruh,1
on my way!,0
lol gg go next,1
again!!,0
stupid player!,1
omg thrower,1
omg useless teammates,1
learn from that one <3,0
never play again!!,1
DUMB TEAMMATE,1
YOURE SO BAD,1
lol gap,1
insane shot!!,0
better luck next game!!!,0
kill yourself!!!,1
pepega,1
go back to fortnite lmao,1
wp!!!,0
get a life!!!,1
intentional feeding,1
kys!,1
all good!,0
nice communication,0
waste of a teammate bruh,1
great game everyone!!!,0
youre a liability!!,1
nice flank :),0
that was fun,0
omg just end,1
anchor,1
next time :),0
cringe player!!,1
omg afk reported,1
deaf player!!!,1
cancer teammate bruh,1
wow great play!,1
NICE ROTATION,0
youre boosted lmao,1
hope you lose every game!,1
omg stfu,1
unwinnable!!!,1
stay positive,0
worst player ever!!,1
loser!!,1
we will get them next time!!!,0
insane shot :),0
omg getting carried,1
lol cant hit anything,1
tough loss but gg <3,0
learn from that one!!,0
go touch grass!!!,1
omg anchor,1
no worries!!!,0
lol pepega,1
gg ez!!,1
goated <3,0
ruining the match!!,1
get rekt lmao,1
PLAY A DIFFERENT GAME,1
nice combo <3,0
sick play <3,0
unwinnable,1
you played well,0
too easy lmao,1
quit gaming!!!,1
great teamwork <3,0
just leave!!,1
lol intentional feeding,1
fun game!!,0
push now!,0
omg really carrying us,1
playing with bots bruh,1
why are you still here,1
anyone have mic <3,0
amazing play!!,0
omg owned,1
HORRIBLE TEAMMATE,1
mid diff,1
lol my team is holding me back,1
YOURE USELESS,1
go play something else bruh,1
lol moron,1
aids player bruh,1
sit down bruh,1
go back to minecraft lmao,1
what a pro!!!,1
ready check!,0
omg ruining the match,1
perfect timing!!!,0
here we go!,0
GOOD CALLOUT,0
omg game is over,1
almost had them!!!,0
nice shot genius bruh,1
glhf,0
mid diff!!,1
anchor!!,1
waste of a teammate!!!,1
sit down!!,1
sick play,0
STICK TO SINGLE PLAYER,1
WORST TEAM EVER,1
quit the game,1
STUPID PLAYER,1
nobody asked!,1
ruining the match bruh,1
useless teammates lmao,1
mvp <3,0
LETS DO THIS,0
easy target!!!,1
that was fun!!,0
amazing play <3,0
thanks for nothing!,1
NICE COMMUNICATION,0
bot player lmao,1
brilliant strategy!!,0
you are so bad at this game!,1
add me!,0
ruining the match,1
omg stop dying,1
youre an idiot lmao,1
OPEN MID,1
pepega!!!,1
omg imbecile,1
youre useless!!!,1
omg pathetic,1
DOG WATER,1
good callout,0
SMOOTH BRAIN PLAYER,1
amazing teammate lmao,1
leave the game,1
useless teammates,1
earned that one!,0
aids player!!,1
enjoy the ban!!!,1
DID I ASK,1
dog water!!,1
jungle diff bruh,1
omg smooth brain player,1
who asked bruh,1
horrible teammate!!,1
that was fun :),0
cant carry this team!!,1
deadweight!!!,1
support diff,1
good playing with you,0
youre a joke!,1
brilliant strategy!!!,0
disconnect please lmao,1
low health!!!,0
UNINSTALL LIFE,1
almost had them,0
stupid player lmao,1
good try team :),0
reset mental!!,0
feeder!!!,1
playing with bots lmao,1
game is over,1
worst aim ever!,1
blind player bruh,1
lol not even close,1
diff bruh,1
omg worst aim ever,1
omg reported,1
who wants to lead,0
lol do you have hands,1
watch flank!!!,0
dog water!,1
reported!,1
run it back <3,0
lol gg ez,1
fall back!,0
imbecile!,1
zero game sense lmao,1
trolling bruh,1
push now <3,0
WELL PLAYED,0
this game isnt for you!!,1
good positioning!!,0
BOT PLAYER,1
lol stop feeding,1
cant carry this team!!!,1
YOURE AN IDIOT,1
omg rage quit already,1
omg gg ez,1
hf <3,0
lol you suck,1
always dying bruh,1
run it back!!,0
never play again bruh,1
youre terrible lmao,1
free win!,1
free kill bruh,1
good to go <3,0
REMATCH,0
WHAT STRAT,0
intentional feeding!!,1
i hate you lmao,1
gap!!,1
free win bruh,1
loser lmao,1
what a pro!,1
MISSED EVERY SHOT,1
omg doing so much damage,1
nice shot,0
trash player!,1
ff 15!!!,1
bad at everything,1
keep dying!!!,1
all good!!!,0
good job!,0
defend here!!!,0
trolling lmao,1
GET REKT,1
nice save,0
my team is holding me back lmao,1
INSANE SHOT,0
lol clearly boosted,1
stay positive!!!,0
lol keep dying,1
stick to single player!!!,1
why are you still here lmao,1
omg worst player ever,1
fall back!!!,0
dog water!!!,1
do something lmao,1
how are you this bad!,1
here we go!!!,0
thanks for nothing lmao,1
owned!,1
how are you this bad bruh,1
nice shot <3,0
casual!,1
nice communication!,0
DISCONNECT PLEASE,1
awesome game!!,0
nice communication!!!,0
gg go next lmao,1
lol free win,1
omg be useful for once,1
we will get them next time :),0
brilliant strategy!,0
GG GO NEXT,1
OWNED,1
QUIT GAMING,1
learn to play,1
lol casual,1
well played!!,0
GOOD TO GO,0
reset mental,0
newb!!!,1
delete your account bruh,1
tryhard loser!,1
NO WORRIES,0
need backup <3,0
do something!,1
lol trash player,1
smooth game,0
really carrying us!!!,1
dont give up!!,0
carry performance :),0
youre cracked <3,0
support diff!!!,1
lol deadweight,1
here we go!!,0
who asked,1
DEFEND HERE,0
impressive gameplay there,1
dont get up bruh,1
wow great play bruh,1
cant do anything right lmao,1
deadweight!!,1
NO BRAIN,1
lol waste of a teammate,1
lol disconnect please,1
ready check!!!,0
AWESOME GAME,0
good luck have fun,0
fun game,0
youre useless lmao,1
free win lmao,1
DIFF,1
are you even trying!!!,1
omg ff 15,1
top diff!!,1
clearly boosted!!,1
easy target!!,1
end yourself bruh,1
why are you still here bruh,1
never play again!,1
here we go :),0
one shot!,0
great communication!!,0
intentional feeding bruh,1
thrower bruh,1
nice play <3,0
hope you lose every game bruh,1
really carrying us!,1
stop dying!!!,1
nice feeding bruh,1
lol useless teammates,1
AGAIN,0
too easy!!,1
CANCER TEAMMATE,1
nice teamwork!!,0
REGROUP,0
lol blind player,1
WASTE OF SPACE,1
tough loss but gg!!!,0
omg free kill,1
clearly boosted lmao,1
we will get them next time,0
lol be useful for once,1
go back to fortnite,1
omg toxic trash,1
afk reported!!!,1
lol stomp,1
imbecile bruh,1
focus target!,0
keep dying bruh,1
fall back!!,0
back to lobby,1
smooth game!!!,0
gg <3,0
earned that one!!!,0
lol worst player ever,1
always dying lmao,1
JUST END,1
great game everyone :),0
be useful for once,1
good callout <3,0
unwinnable!!,1
just end!,1
enjoy the ban lmao,1
lol back to lobby,1
good job :),0
youre cracked!!!,0
you played well!!,0
omg outplayed hard,1
omg scrub,1
dont give up :),0
omg dog water,1
AIDS PLAYER,1
great teamwork!,0
omg dumb teammate,1
need backup!!!,0
braindead!,1
watch flank!!,0
thrower!,1
omg stop feeding,1
delete your account lmao,1
POTATO AIM,1
no worries :),0
go back to fortnite bruh,1
uninstall life,1
unlucky :),0
enemy spotted!,0
split up!,0
you are trash!!!,1
GO TOUCH GRASS,1
what strat,0
great game everyone,0
omg trolling,1
need backup :),0
moron!!,1
party up!!,0
TRYHARD LOSER,1
clutch play,0
good callout!!!,0
gg go next!!,1
lets play again :),0
attack together,0
useless teammates!!!,1
waste of space!!!,1
here we go <3,0
nice teamwork,0
reset mental!!!,0
carry performance!!,0
destroyed bruh,1
focus target <3,0
YOURE BOOSTED,1
HF,0
never play again!!!,1
good positioning,0
omg waste of a teammate,1
feeder,1
team diff lmao,1
free exp!!!,1
on my way!!,0
GREAT TEAMWORK,0
stop feeding,1
get good,1
anyone have mic!!,0
sit down lmao,1
sit down!!!,1
lol team diff,1
shut up!,1
STOP PLAYING,1
great vibes!,0
get good!!,1
are you even trying lmao,1
kys lmao,1
rage quit already,1
lol getting carried,1
you are so bad at this game lmao,1
so close!!,0
omg gg go next,1
stay down!!,1
happens to everyone!,0
team diff,1
noob,1
WORST AIM EVER,1
blind player!,1
CRINGE PLAYER,1
scrub!!!,1
diff,1
sick play!!,0
enemy spotted :),0
gg ez bruh,1
terrible player!,1
getting carried!!,1
EMBARRASSING,1
STAY DOWN,1
omg what a pro,1
go play something else!!!,1
good luck have fun!!,0
good to go!!!,0
lol get good,1
love this team!!!,0
rage quit already!!,1
free win!!!,1
you are trash,1
rematch!!!,0
youre useless,1
we got this!,0
lol stop playing ranked,1
game is over lmao,1
gg!!!,0
outplayed hard,1
1V9,1
trolling!!!,1
everyone ready,0
ENEMY SPOTTED,0
keep it up :),0
free kill lmao,1
lol youre a joke,1
lol doing so much damage,1
kys!!,1
delete the game!!!,1
uninstall life!,1
ff 15 lmao,1
cant do anything right!,1
omg potato aim,1
stop dying lmao,1
getting carried!,1
throwing the game!,1
lol free exp,1
youre an idiot bruh,1
are you even trying!!,1
walking gold bag!!!,1
all good <3,0
open mid!!,1
fall back :),0
do you have hands!,1
omg delete your account,1
dont get up,1
want to queue,0
walking gold bag bruh,1
nice save!,0
fun to play with,0
close one!,0
perfect timing,0
tough loss but gg!,0
lol stop dying,1
good try team!,0
GOOD POSITIONING,0
gg go next!,1
good positioning :),0
stupid player!!!,1
no worries <3,0
positive energy <3,0
omg shut up,1
outplayed hard bruh,1
you suck!,1
smooth brain player,1
FREE WIN,1
gg go next,1
great communication :),0
deadweight lmao,1
love this team!!,0
lol open mid,1
go die!!,1
enjoyed that <3,0
IMBECILE,1
throwing the game bruh,1
so close!!!,0
lol get out of my game,1
GAME IS OVER,1
thanks for the carry <3,0
why are you still here!!,1
rage quit already!!!,1
amazing teammate bruh,1
keep dying,1
lol 1v9,1
be useful for once!!,1
PARTY UP,0
